Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other,Day ahead forecast,Hour ahead forecast,Current demand
00:00,-37,3407,1020,353,222,140,21,1147,8099,712,71,6803,0,21161,21319,21329.0
00:05,-37,3377,1020,354,222,141,22,1146,8102,933,146,6642,0,20944,21115,21291.0
00:10,-37,3373,1020,356,222,143,22,1146,7994,1168,88,6442,0,20944,21115,21269.0
00:15,-37,3364,1019,356,222,142,21,1147,8065,1405,7,6141,0,20944,21115,21170.0
00:20,-38,3347,1018,354,222,141,21,1147,8135,1440,-80,6057,0,20944,20924,21087.0
00:25,-38,3327,1019,353,222,141,22,1146,8170,1443,-106,6057,0,20944,20924,21039.0
00:30,-38,3335,1018,352,222,141,22,1146,8174,1431,-70,5929,0,20944,20924,20956.0
00:35,-38,3318,1019,352,223,140,21,1147,8146,1411,-58,5875,0,20944,20785,20898.0
00:40,-38,3293,1019,354,222,140,21,1147,8138,1385,-58,5833,0,20944,20785,20834.0
00:45,-38,3250,1020,353,223,138,21,1147,8099,1377,-18,5787,0,20944,20785,20764.0
00:50,-38,3206,1021,353,222,139,22,1147,8051,1320,-28,5817,0,20944,20590,20699.0
00:55,-38,3168,1022,354,223,138,21,1147,8081,1275,-46,5845,0,20944,20590,20645.0
01:00,-38,3148,1020,351,223,138,21,1147,8066,1267,-42,5843,0,20944,20590,20571.0
01:05,-38,3140,1020,353,222,139,21,1146,8025,1401,-11,5733,0,20249,20374,20524.0
01:10,-38,3129,1020,355,223,139,20,1146,7883,1425,10,5761,0,20249,20374,20523.0
01:15,-38,3170,1020,354,223,139,21,1146,7807,1411,10,5710,0,20249,20374,20466.0
01:20,-38,3150,1019,354,223,140,21,1146,7835,1304,31,5738,0,20249,20233,20407.0
01:25,-38,3122,1019,352,223,140,20,1147,7823,1297,0,5754,0,20249,20233,20353.0
01:30,-37,3074,1020,353,223,140,19,1147,7810,1342,0,5734,0,20249,20233,20286.0
01:35,-37,3062,1019,357,223,139,19,1147,7742,1251,0,5800,0,20249,20118,20224.0
01:40,-38,3057,1019,354,223,140,20,1147,7760,1247,-13,5794,0,20249,20118,20169.0
01:45,-38,2995,1018,355,223,140,19,1146,7682,1210,-2,5898,0,20249,20118,20138.0
01:50,-38,2924,1020,354,223,140,19,1146,7689,1202,-2,5950,0,20249,20013,20119.0
01:55,-38,2865,1016,355,223,140,19,1146,7652,1241,-7,5974,0,20249,20013,20058.0
02:00,-38,2882,1014,356,223,140,20,1146,7691,1262,-14,5853,0,20249,20013,20015.0
02:05,-38,2893,1021,357,223,141,20,1147,7689,1308,-4,5789,0,19818,19922,19992.0
02:10,-38,2881,1021,357,223,141,19,1147,7623,1288,-3,5816,0,19818,19922,19970.0
02:15,-38,2876,1021,356,223,139,18,1146,7668,1304,0,5763,0,19818,19922,19948.0
02:20,-38,2853,1020,357,223,139,17,1147,7638,1315,0,5745,0,19818,19838,19899.0
02:25,-38,2815,1020,357,224,141,17,1147,7614,1315,9,5776,0,19818,19838,19866.0
02:30,-38,2771,1019,355,223,142,18,1147,7581,1313,5,5777,0,19818,19838,19827.0
02:35,-38,2751,1018,356,224,142,19,1146,7514,1244,0,5893,0,19818,19757,19795.0
02:40,-38,2709,1018,355,224,143,19,1147,7552,1277,-3,5887,0,19818,19757,19785.0
02:45,-38,2719,1018,356,224,142,20,1146,7490,1294,-3,5880,0,19818,19757,19742.0
02:50,-39,2747,1018,357,224,143,20,1146,7450,1293,-3,5893,0,19818,19727,19715.0
02:55,-39,2779,1018,357,224,141,20,1147,7430,1228,-6,5938,0,19818,19727,19719.0
03:00,-39,2808,1018,358,224,141,20,1146,7462,1175,-18,5961,0,19818,19727,19699.0
03:05,-39,2858,1019,358,224,141,20,1146,7540,1248,-25,5865,0,19613,19709,19706.0
03:10,-39,2898,1020,358,224,141,20,1146,7504,1296,-26,5870,0,19613,19709,19714.0
03:15,-39,2962,1020,357,224,140,19,1146,7474,1293,-24,5832,0,19613,19709,19686.0
03:20,-40,3000,1020,359,223,140,19,1146,7478,1295,-23,5819,0,19613,19688,19673.0
03:25,-40,3043,1020,357,223,142,20,1147,7510,1291,-22,5782,0,19613,19688,19654.0
03:30,-40,3044,1019,359,223,142,20,1147,7532,1275,-22,5731,0,19613,19688,19641.0
03:35,-40,3076,1020,359,223,142,20,1146,7505,1140,-28,5850,0,19613,19666,19657.0
03:40,-40,3136,1019,361,223,142,19,1148,7459,1087,-26,5914,0,19613,19666,19627.0
03:45,-40,3155,1019,360,223,142,20,1146,7495,1081,-24,5891,0,19613,19666,19646.0
03:50,-41,3124,1018,360,224,142,20,1146,7472,1080,-23,5957,0,19613,19748,19655.0
03:55,-41,3103,1019,359,223,142,19,1147,7475,1075,-24,5965,0,19613,19748,19651.0
04:00,-40,3079,1018,357,224,142,20,1147,7497,1067,-26,5998,0,19613,19748,19670.0
04:05,-41,3044,1019,355,223,141,22,1147,7534,1067,-13,6065,0,19793,19857,19751.0
04:10,-40,3014,1019,356,223,141,23,1146,7547,1077,-25,6088,0,19793,19857,19764.0
04:15,-40,3015,1020,354,224,141,24,1146,7592,1126,-8,6053,0,19793,19857,19811.0
04:20,-40,3050,1021,356,224,141,22,1146,7631,1212,-4,5911,0,19793,19955,19826.0
04:25,-40,3053,1021,357,223,142,20,1147,7619,1209,-1,5884,0,19793,19955,19828.0
04:30,-41,3080,1021,357,217,143,21,1147,7591,1250,-4,5887,0,19793,19955,19844.0
04:35,-40,3077,1021,356,217,140,21,1147,7640,1268,-20,5904,0,19793,20032,19890.0
04:40,-40,3071,1022,351,217,141,20,1147,7669,1296,-22,5911,0,19793,20032,19937.0
04:45,-40,3039,1023,350,216,140,20,1147,7681,1306,-15,5920,0,19793,20032,19951.0
04:50,-40,3005,1022,351,216,140,19,1147,7703,1354,-13,5930,0,19793,20270,19986.0
04:55,-41,2952,1022,351,216,142,19,1147,7691,1321,-5,6026,0,19793,20270,20015.0
05:00,-40,2883,1022,349,216,141,19,1147,7789,1353,-3,6060,0,19793,20270,20076.0
05:05,-40,2860,1021,349,216,141,19,1147,7881,1400,-2,6073,0,20405,20480,20198.0
05:10,-40,2858,1022,348,216,141,20,1147,7925,1520,8,5994,0,20405,20480,20290.0
05:15,-40,2857,1021,346,216,141,19,1147,7897,1536,25,6024,0,20405,20480,20362.0
05:20,-41,2846,1020,345,216,140,19,1147,7994,1454,13,6090,0,20405,20670,20436.0
05:25,-41,2843,1022,346,216,141,19,1147,8137,1571,-50,6092,0,20405,20670,20497.0
05:30,-41,2836,1021,346,216,141,19,1147,8141,1665,-39,6025,0,20405,20670,20530.0
05:35,-41,2848,1023,346,216,141,18,1146,8211,1521,-33,6042,0,20405,20890,20599.0
05:40,-41,2846,1021,347,216,141,18,1146,8377,1532,-37,6014,0,20405,20890,20666.0
05:45,-42,2870,999,343,216,141,20,1147,8360,1590,-29,5980,0,20405,20890,20722.0
05:50,-41,2851,975,344,217,141,20,1147,8435,1620,-4,5966,0,20405,21198,20789.0
05:55,-42,2840,971,340,217,141,19,1146,8489,1670,-40,6017,0,20405,21198,20874.0
06:00,-42,2780,964,340,218,142,19,1147,8537,1810,-30,6007,0,20405,21198,20973.0
06:05,-43,2720,958,341,219,140,20,1147,8653,2004,54,5953,0,21172,21449,21172.0
06:10,-40,2687,948,339,219,142,20,1146,8693,2118,29,5988,0,21172,21449,21329.0
06:15,-34,2664,951,340,219,142,20,1147,8670,2124,37,6046,0,21172,21449,21379.0
06:20,-9,2600,953,340,219,141,20,1147,8658,2135,42,6086,0,21172,21484,21399.0
06:25,47,2540,950,337,219,143,20,1147,8654,2089,45,6097,0,21172,21484,21376.0
06:30,121,2526,953,335,219,147,18,1147,8608,2134,46,6086,0,21172,21484,21396.0
06:35,236,2512,952,338,219,147,19,1146,8451,2108,47,6158,0,21172,21423,21423.0
06:40,421,2457,953,337,219,147,19,1147,8414,2079,47,6086,0,21172,21423,21414.0
06:45,654,2421,952,339,219,150,18,1146,8338,1911,46,6056,0,21172,21423,21379.0
06:50,911,2389,957,340,219,150,19,1147,8080,1717,20,6283,0,21172,21511,21369.0
06:55,1259,2358,953,340,219,149,19,1147,7933,1417,42,6355,0,21172,21511,21357.0
07:00,1673,2368,953,340,218,149,19,1147,7852,1291,3,6222,0,21172,21511,21324.0
07:05,2087,2389,956,341,220,148,20,1146,7666,1373,-45,6108,0,21083,21452,21393.0
07:10,2557,2393,956,340,222,149,19,1146,7312,1277,-69,6106,0,21083,21452,21533.0
07:15,3089,2395,957,340,221,150,19,1147,6963,1205,-81,6031,0,21083,21452,21524.0
07:20,3644,2404,960,341,220,149,19,1147,6707,1048,-95,5853,0,21083,21322,21475.0
07:25,4161,2421,963,339,220,145,20,1146,6236,971,-88,5804,0,21083,21322,21440.0
07:30,4737,2412,966,341,220,143,20,1147,5808,911,-100,5741,0,21083,21322,21377.0
07:35,5328,2408,969,340,221,142,20,1147,5431,879,-99,5500,0,21083,21131,21290.0
07:40,5869,2420,970,340,221,143,19,1147,4906,873,-93,5401,0,21083,21131,21223.0
07:45,6405,2409,967,341,221,143,19,1147,4610,859,-112,5087,0,21083,21131,21141.0
07:50,6978,2412,964,339,221,144,19,1147,4609,961,-122,4466,0,21083,20962,21061.0
07:55,7551,2376,971,338,220,128,19,1147,4293,973,-127,4150,0,21083,20962,20971.0
08:00,8045,2355,971,338,220,108,20,1148,4092,1050,-53,3649,0,21083,20962,20871.0
08:05,8470,2339,966,341,221,101,20,1147,3453,1013,47,3757,0,20165,20757,20883.0
08:10,8897,2315,967,339,220,101,19,1147,3200,1036,120,3487,0,20165,20757,20881.0
08:15,9300,2336,968,341,220,100,19,1147,3124,1044,43,3116,0,20165,20757,20796.0
08:20,9586,2315,966,340,221,100,21,1147,3078,1030,-1,2814,0,20165,20434,20671.0
08:25,9749,2331,963,341,220,100,21,1147,3079,1040,4,2524,0,20165,20434,20493.0
08:30,9838,2327,964,339,221,100,20,1147,2942,1040,4,2446,0,20165,20434,20400.0
08:35,10012,2313,965,339,221,100,20,1147,2802,1042,46,2290,0,20165,20019,20279.0
08:40,10193,2308,966,340,221,100,21,1147,2558,1042,-19,2256,0,20165,20019,20125.0
08:45,10344,2347,965,341,221,99,21,1147,2582,1041,33,1914,0,20165,20019,20027.0
08:50,10486,2394,963,339,220,98,20,1147,2533,1037,14,1612,0,20165,19701,19898.0
08:55,10637,2430,964,338,221,99,20,1147,2559,1032,-11,1345,0,20165,19701,19783.0
09:00,10756,2444,966,338,220,99,20,1148,2522,1028,-1,1114,0,20165,19701,19700.0
09:05,10718,2480,967,338,220,99,21,1148,2380,1045,22,1206,0,18960,19414,19625.0
09:10,10826,2462,966,337,220,100,21,1148,2131,1032,2,1273,0,18960,19414,19569.0
09:15,11087,2466,966,338,219,100,21,1147,2012,1005,-24,1208,0,18960,19414,19482.0
