Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,Day ahead forecast,Hour ahead forecast,Current demand
00:00,-40,2415,892,266,213,187,10,1596,8252,860,-81,7507,0,21744,21306,21157
00:05,-40,2397,893,266,213,184,11,1598,8052,730,-78,7790,0,20831,21086,21171
00:10,-40,2386,894,265,212,181,10,1599,7976,706,-64,7938,0,20831,21086,21155
00:15,-40,2355,893,265,212,181,11,1597,7856,742,-52,7981,0,20831,21086,21082
00:20,-40,2326,893,265,212,182,11,1596,7757,767,-30,8002,0,20831,20877,20990
00:25,-40,2328,893,267,213,182,11,1594,7543,738,-6,8027,0,20831,20877,20885
00:30,-40,2383,892,267,212,181,11,1594,7559,741,-67,7989,0,20831,20877,20832
00:35,-40,2392,892,264,212,181,11,1595,7535,735,-144,8051,0,20831,20621,20769
00:40,-40,2416,891,262,213,180,11,1596,7485,736,-144,8047,0,20831,20621,20687
00:45,-40,2406,892,260,213,180,11,1596,7466,739,-143,7997,0,20831,20621,20621
00:50,-40,2460,893,261,213,180,11,1598,7452,728,-152,7889,0,20831,20460,20538
00:55,-40,2554,892,262,213,181,11,1599,7425,697,-162,7813,0,20831,20460,20487
01:00,-40,2626,892,262,213,182,10,1598,7376,624,-160,7761,0,20831,20460,20399
01:05,-40,2608,891,260,213,183,10,1594,7311,558,-194,7962,0,20095,20264,20382
01:10,-40,2579,891,261,213,184,11,1594,7139,555,-209,8179,0,20095,20264,20327
01:15,-40,2589,890,262,213,184,10,1594,6839,568,-141,8305,0,20095,20264,20285
01:20,-40,2630,891,263,213,183,10,1595,6688,576,-120,8306,0,20095,20119,20213
01:25,-40,2656,891,265,213,183,11,1595,6613,586,-123,8269,0,20095,20119,20160
01:30,-40,2669,890,264,213,183,11,1595,6588,587,-115,8200,0,20095,20119,20110
01:35,-40,2646,891,262,213,183,10,1598,6588,581,-113,8180,0,20095,19974,20071
01:40,-40,2604,890,265,213,184,11,1599,6541,577,-113,8255,0,20095,19974,20036
01:45,-40,2577,890,266,213,184,10,1598,6529,567,-122,8286,0,20095,19974,20012
01:50,-40,2622,890,267,213,183,10,1597,6488,568,-129,8287,0,20095,19879,19965
01:55,-40,2675,891,266,213,182,11,1594,6458,572,-138,8236,0,20095,19879,19922
